Phrase Table: 5,575 unique phrase pairs from 1000 sentence pairs (max phrase length = 5)
Costs are in bits: -log2(probability). Lower = more probable.

Source (Spanish)                         Target (English)                            cost(f|e)    cost(e|f)   count
-------------------------------------------------------------------------------------------------------------------
.                                        .                                             -0.0000       0.0035     823
y                                        and                                            0.0185       0.0668     232
no                                       not                                            0.0110       0.2704     131
comisión                                 commission                                     0.0111       0.2814     130
en                                       in                                             0.0661       0.5469     128
,                                        ,                                              0.0113       0.3059     127
que                                      that                                           0.1243       0.9928     100
de                                       of                                             0.1058       0.5745      92
es                                       is                                             0.3536       0.3785      90
a                                        to                                             0.3187       0.3444      89
informe                                  report                                         0.0489      -0.0000      87
un                                       a                                              0.7824       0.5785      75
este                                     this                                           1.0097       0.0573      74
también                                  also                                           0.0406       0.1926      70
competencia                              competition                                    0.0614       0.0208      69
política                                 policy                                         0.0632       0.0424      67
presidente                               president                                     -0.0000       0.0224      64
la                                       the                                            0.9879       0.3785      60
parlamento                               parliament                                     0.0506       0.0753      56
unión                                    union                                         -0.0000       0.0260      55
una                                      a                                              1.3674       0.6781      50
ha                                       has                                            0.1459       0.5329      47
pero                                     but                                            0.7122       0.0893      47
europea                                  european                                       0.6374      -0.0000      45
como                                     as                                             0.1884       0.1587      43
el                                       the                                            1.4686       0.1587      43
señor                                    mr                                             1.0175      -0.0000      41
que                                      which                                          0.1019       2.2791      41
miembros                                 member                                         0.0687       0.0348      41
esta                                     this                                           1.9338       0.0721      39
con                                      with                                          -0.0000       0.9419      38
por                                      by                                             0.0740       1.1096      38
sr                                       mr                                             1.1656      -0.0000      37
mercado                                  market                                         0.0759      -0.0000      37
para                                     for                                            0.6881       0.8524      36
mi                                       my                                             0.1651       0.0431      33
más                                      more                                           0.1293       0.8580      32
desarrollo                               development                                    0.0875       0.0875      32
estructurales                            structural                                     0.2937      -0.0000      31
comisario                                commissioner                                   0.6897      -0.0000      31
entre                                    between                                       -0.0000       0.2630      30
cohesión                                 cohesion                                      -0.0000      -0.0000      30
si                                       if                                            -0.0000       0.3515      29
debate                                   debate                                        -0.0000       0.1468      28
sobre                                    on                                             0.7776       0.4021      28
?                                        ?                                             -0.0000      -0.0000      28
o                                        or                                             0.1468      -0.0000      28
europa                                   europe                                        -0.0000       0.0506      28
social                                   social                                         0.5146      -0.0000      28
estatales                                state                                          0.4021      -0.0000      28
importante                               important                                      0.1575       0.2538      26
regional                                 regional                                       0.6215       0.0544      26
unión europea                            european union                                -0.0000      -0.0000      25
transporte                               transport                                      0.4854       0.2630      25
comisión                                 committee                                      0.2630       2.6599      25
ponente                                  rapporteur                                     0.0566       0.1635      25
señor presidente                         mr president                                   0.0566      -0.0000      25
las regiones                             regions                                        0.3561       0.0566      25
señora presidenta                        madam president                                0.0589       0.1699      24
seguridad                                safety                                        -0.0000       0.1699      24
sino                                     but                                            1.6818       0.1155      24
porque                                   because                                        0.1769       0.2313      23
grupo                                    group                                          0.2313      -0.0000      23
empleo                                   employment                                     0.0614       0.1203      23
europeo                                  european                                       1.6699      -0.0000      22
todos                                    all                                            0.8625       0.2410      22
hoy                                      today                                         -0.0000      -0.0000      22
muy                                      very                                          -0.0000       0.1844      22
peligrosas                               dangerous                                      0.2410      -0.0000      22
mercancías                               goods                                         -0.0000       0.0641      22
estos                                    these                                          1.0000      -0.0000      22
sólo                                     only                                           0.1375       0.3785      20
económica                                economic                                       0.7225      -0.0000      20
propuesta                                proposal                                      -0.0000       0.0740      19
dos                                      two                                           -0.0000      -0.0000      19
mercancías peligrosas                    dangerous goods                               -0.0000      -0.0000      18
directiva                                directive                                      0.0780      -0.0000      18
estas                                    these                                          1.2895      -0.0000      18
enmiendas                                amendments                                     0.2895      -0.0000      18
ayudas                                   aid                                            1.1520       0.0780      18
han                                      have                                           0.7199       0.4361      17
su                                       its                                            0.4975       1.6674      17
fondos                                   funds                                          0.5564       0.0825      17
economía                                 economy                                       -0.0000      -0.0000      17
las ayudas                               aid                                            1.2345      -0.0000      17
ue                                       eu                                             0.0875      -0.0000      16
los estados                              states                                         0.5850       0.0875      16
futuro                                   future                                         0.0875      -0.0000      16
:                                        :                                             -0.0000       0.2479      16
años                                     years                                         -0.0000      -0.0000      16
un                                       an                                             0.8074       2.8074      16
1                                        1                                              0.1699      -0.0000      16
trabajo                                  work                                           0.1699       0.3923      16
en                                       on                                             1.6781       3.6400      15
esto                                     this                                           3.3123       0.1806      15
nacionales                               national                                       0.0931      -0.0000      15
enmienda                                 amendment                                      0.4150      -0.0000      15
debe                                     must                                           0.4150       0.6167      15
sector                                   sector                                         0.0931       0.0931      15
países                                   countries                                      0.5850      -0.0000      14
se                                       been                                           0.9475       2.7625      14
cuando                                   when                                          -0.0000       0.0995      14
los estados miembros                     member states                                  0.5850       0.2801      14
política regional                        regional policy                               -0.0000       0.0995      14
punto                                    point                                          0.5850       0.3626      14
importancia                              importance                                    -0.0000       0.0995      14
período                                  period                                         0.2996      -0.0000      13
me                                       i                                              1.7258       0.5475      13
situación                                situation                                     -0.0000       0.1069      13
ahora                                    now                                           -0.0000       0.2065      13
nos                                      we                                             1.7590       0.9434      13
programa                                 programme                                     -0.0000      -0.0000      13
nuestras                                 our                                            1.7914      -0.0000      13
de                                       for                                            2.1575       3.3976      13
regionales                               regional                                       1.6215      -0.0000      13
año                                      year                                          -0.0000      -0.0000      12
sin embargo                              however                                        0.6630       0.1155      12
es                                       it is                                          0.3219       3.2854      12
que                                      we                                             1.8745       4.0517      12
análisis                                 analysis                                      -0.0000       0.1155      12
una                                      one                                            1.2730       2.7370      12
problemas                                problems                                      -0.0000      -0.0000      12
objetivo                                 objective                                      0.1155       0.3219      12
necesidad                                need                                           0.5850       0.1155      12
sociales                                 social                                         1.7370      -0.0000      12
objetivos                                objectives                                     0.5025       0.2224      12
nuestro                                  our                                            1.9069      -0.0000      12
señor comisario                          commissioner                                   2.0589      -0.0000      12
una                                      an                                             1.3479       2.8625      11
que                                      i                                              1.9668       4.1772      11
sra                                      mrs                                            0.2410      -0.0000      11
cuestión                                 issue                                          0.5406       0.9329      11
se                                       be                                             1.6280       3.1104      11
nombre                                   behalf                                        -0.0000       0.1255      11
primera                                  first                                          0.8625       0.1255      11
ser                                      be                                             1.6280       0.1255      11
nuestra                                  our                                            2.0324       0.1255      11
su                                       their                                          1.0000       2.2955      11
parlamento europeo                       european parliament                           -0.0000      -0.0000      10
principio                                principle                                     -0.0000      -0.0000      10
caso                                     case                                          -0.0000       0.9260      10
no                                       no                                             0.1375       3.9819      10
yo                                       i                                              2.1043      -0.0000      10
calidad                                  quality                                       -0.0000      -0.0000      10
tiempo                                   time                                           0.4854       0.1375      10
quiero                                   i would like                                   1.1375       1.0704      10
nos                                      us                                             0.6781       1.3219      10
